,,"PLEASE READ: 

This document is internal, and the entire sheet should NOT be shared externally. To share information with a prospect: copy the file and screenshot or copy the cells related only to the targeted countries -- only share necessary information. Information in column L (Key Things to Know - Sales Bullets), for instance, include notes that you should use during your live conversations with the prospect.

About column K (Numbers Catergory): 

Cat A: These numbers can be sold without any restrictions to all our customers including the largest and most critical ones. 

Cat B: These numbers cannot be resold, therefore should not be sold to SaaS. MSPs/SIs customers typically provide these numbers to Enterprise customers. These numbers can be sold without any restriction to customers using them for their own business (Enterprises, Digital Natives, etc...). 

Cat C: Check with Numbering team (#help-global-number-coverage) before selling. These numbers should not be sold to SaaS or critical customers (large MSPs, SIs, Enterprises or Digital Natives). 

Full PSTN replacement is a feature set, it allows you the same abilities as if you were using a local operator in each region. It's full feature parity of inbound and outbound local calling, geographic, and national number resources, emergency service-enabled numbers, Calling Line Identity (CLI) passthrough, dual-tone multi-frequency (DTMF) signaling, and number portability. 
Note 1: The qualification of PSTN replacement is not applicable to Mobile or  Toll-Free numbers.
Note 2: Full PSTN replacement does not imply a full coverage of the country, our coverage (set of numbers) can be partial. Please see additional information here : (This is a work in progress - I will link here once done - Paul)


** For outbound international calling destinations, please refer to the global rate deck available within the Telnyx Portal.                             ",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Country,Number Type,Inbound Calling,Outbound Local,Outbound International**,Emergency Calling,Fax,Porting,Full PSTN Replacement,2-way SMS,Region,,Numbers Category,Key Things to Know (sales bullets)
Albania,Local,Y,Y,Y,N,Y,Y,N,N,EMEA,,,(via aggregator)
Albania,Toll-Free,Y,N,N,N,N,N,N/A,N,EMEA,,,(via aggregator)
Angola,Local,Y,N,N,N,N,N,N,N,EMEA,,,
Anguilla,Toll-Free,Y,N,N,N,N,N,N/A,N,EMEA,,,International access is not guaranteed.
Antigua and Barbuda,Toll-Free,Y,,N,N,N,N,N/A,N,AMER,,,"National number format: 1 800 XXX XXXX. Numbers can also be called for free from Anguilla, Barbados, British Virgin Island, Cayman Islands, Dominica, Grenada, Jamaica, St Kitts & Nevis, St Lucia, St Vincent and Turk & Caicos. International access is not guaranteed."
Argentina,Local,Y,Y,Y,Y,Y,Y,Y,N,AMER,,A,
Argentina,Shared Cost,Y,N,N,N,N,N,N/A,N,AMER,,A,
Argentina,Toll-Free,Y,N,N,N,N,Y,N/A,N,AMER,,A,
Australia,Local,Y,Y,Y,Y,Y,Y,Y,N,APAC,,A,"The service provider is reposslble to upload address info to DB of regulator.  Or can ask Telnyx as his data provider. What also implies that each service provider needs to be ""licensed"""
Australia,Mobile,Y,Y,Y,Y,N,Y,Y,Y,APAC,,A,"The service provider is reposslble to upload address info to DB of regulator.  Or can ask Telnyx as his data provider. What also implies that each service provider needs to be ""licensed"""
Australia,Toll-Free,Y,N,N,N,N,Y,N/A,N,APAC,,A,
Australia,Shared Cost (1300),Y,N,N,N,Y,Y,N,N,APAC,,,
Austria,Local,Y,Y,Y,Y,Y,Y,Y,N,EMEA,,A,We have more coverage then most of our competitors. We need to register our reseller (only 1 level) in the database of the regulator (what implies that our resellers must be licensed in AT)
Austria,Mobile,Y,N,Y,N,N,N,N/A,N,EMEA,,A,National numberformat 067 - XXX XXX XXX XX
Austria,Toll-Free,Y,N,N,N,Y,Y,N/A,N,EMEA,,A,
Bahamas,Toll-Free,Y,N,N,N,N,N,N/A,N,AMER,,,"Numbers can also be called for free from Anguilla, Antigua, Barbados, British Virgin Island, Cayman Islands, Dominica, Grenada, St Kitts & Nevis, St Lucia, St Vincent and Turk & Caicos, Montserrat."
Bahrain,National,Y,Y,N,N,N,N,N,N,EMEA,,B/C,
Bangladesh,Local,Y,N,N,N,N,N,N,N,APAC,,B,I doubt if this is legal. Voip license only allowed international incoming traffic
Bangladesh,Mobile,Y,N,N,N,N,N,N,N,APAC,,A,National number format: 000800 -XXX-YYY. Minimum contract duration: 1 year. Average leadtime activations: Best effort
Barbados,Local,Y,N,Y,N,N,N,N,N,AMER,,,National number-format: 1246 XXX XXXX.
Barbados,Toll-Free,Y,N,N,N,N,N,N/A,N,AMER,,,National number format 1 8XX XXX XXXX. International access is not guaranteed.
Belgium,Local,Y,Y,Y,Y,Y,Y,Y,N,EMEA,,A,Our own number ranges in Q3 / Q4. Only 1 reseller allowed
Belgium,Mobile,Y,N,Y,N,N,N,N/A,Y,EMEA,,B,Strict verifiation if customer is in Belgium. Only 1 reseller allowed
Belgium,Toll-Free,Y,N,N,N,Y,Y,N/A,N,EMEA,,A,
Belize,Toll-Free,Y,N,N,N,N,N,N/A,N,AMER,,,National number format: 1 800 XXX XXXX
Belize,Local,Y,N,N,N,N,N,N/A,N,AMER,,,
Benin,Local,Y,N,N,N,N,N,N,N,EMEA,,,
Benin,Mobile,Y,Y,N,N,N,N,N/A,N,EMEA,,B/C,National numberformat: 61 XXX XXX
Bermuda,Toll-Free,Y,N,N,N,N,N,N/A,N,AMER,,,National number format: 1 800 XXX XXXX
